provinceName,cityName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
北京市,朝阳区,352,0,56,3,56,0,0,0,2020-02-12 10:35:49.123
北京市,海淀区,352,0,56,3,56,0,0,0,2020-02-12 10:35:49.123
北京市,西城区,352,0,56,3,43,0,0,0,2020-02-12 10:35:49.123
北京市,大兴区,352,0,56,3,37,0,2,0,2020-02-12 10:35:49.123
北京市,丰台区,352,0,56,3,32,0,3,0,2020-02-12 10:35:49.123
北京市,外地来京人员,352,0,56,3,25,0,2,0,2020-02-12 10:35:49.123
北京市,昌平区,352,0,56,3,19,0,0,0,2020-02-12 10:35:49.123
北京市,通州区,352,0,56,3,17,0,1,0,2020-02-12 10:35:49.123
北京市,房山区,352,0,56,3,14,0,0,0,2020-02-12 10:35:49.123
北京市,石景山区,352,0,56,3,13,0,0,0,2020-02-12 10:35:49.123
北京市,东城区,352,0,56,3,12,0,0,0,2020-02-12 10:35:49.123
北京市,顺义区,352,0,56,3,10,0,0,0,2020-02-12 10:35:49.123
北京市,怀柔区,352,0,56,3,7,0,0,0,2020-02-12 10:35:49.123
北京市,密云区,352,0,56,3,7,0,0,0,2020-02-12 10:35:49.123
北京市,门头沟区,352,0,56,3,3,0,0,0,2020-02-12 10:35:49.123
北京市,延庆区,352,0,56,3,1,0,0,0,2020-02-12 10:35:49.123
北京市,待明确地区,352,0,56,3,0,0,48,3,2020-02-12 10:35:49.123
